f,c1,c2
-4.875197621679034365e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.463662810998288988e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.078952732676684789e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.802291871366996645e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.718938977119917277e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.101675862555753782e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.136008643328223933e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.037978847070780475e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.285934269892406112e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.891373869421863585e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.339675092930859401e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.376688454515859278e-02,1.000000000000000000e+00,2.000000000000000000e+00
-2.690434713119927324e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.075172883535328916e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.834484215845521016e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.455253882603311899e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.269925860979353338e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.817563035176086639e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.449860068122828416e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.397104418878395649e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.473795481783225059e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.026534182614896151e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.124078128637288954e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.268339480499056426e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.580370639502418628e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.433569833985786302e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.978873770335237259e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.530188255971297151e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.744085760933069662e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.450659746211063972e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.565333229538169446e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.446416322474965099e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.184953329630598406e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.996537845548238099e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.872711934036093262e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.510617302898626058e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.920891994113267720e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.086652462691532595e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.462041339543766916e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.962558281380126890e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.550939021838729504e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.027202397303154768e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.502299576070631248e-02,5.000000000000000000e+00,2.000000000000000000e+00
-2.670739029384280872e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.316455145541167882e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.168573111591182712e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.828600094791120512e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.873080995398955340e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.678013029392725675e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.559990740329234904e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.796529122428139891e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.996671282791069535e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.216786485335137113e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.324828318384341508e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.298678415417422571e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.101129853604923915e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.460309194152546564e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.369215794451987378e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.917217088985445184e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.661650170376722802e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.465010546937351332e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.350003808870753608e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.072812134874745471e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.236713844835695464e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.740245193325448136e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.639189372654429044e-02,1.000000000000000000e+00,2.000000000000000000e+00
-3.441911551568445637e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.228316379316623574e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.997336819586356338e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.746898805566492907e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.664617763132312023e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.688801309263263439e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.909983708883997822e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.995631353239393002e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.184628339628852722e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.268279372434426122e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.605732700747625738e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.014065436708765811e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.029868287412499139e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.001301572466774426e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.553237363955960015e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.813260900260669772e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.096548484221351982e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.674294399638921016e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.110771259269745626e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.391637958386168661e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.404818774692952132e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.467933742368034228e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.302677051124500052e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.134278644891693943e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.950784149504271980e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.277458041912541420e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.449397896551080089e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.436276316340974163e-02,5.000000000000000000e+00,2.000000000000000000e+00
4.727185748011683009e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.309169029406981100e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.998570858984451748e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.084188645775066018e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.584357696883670341e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.660751124382492172e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.620760999823254389e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.359758244174809061e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.208255579469754926e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.012353268475967960e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.081992498969854166e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.997301265116181224e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.806808200749235205e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.674460296242782587e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.776900085489817593e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.586695038856815065e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.897111167064348680e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.752864196361207050e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.618037383252788564e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.148554251161272521e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.528991968215585917e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.015550509368259413e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.242875138330517437e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.260128521128535239e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.450170191681581677e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.884463066524654229e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.075678506536623669e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.210787357634106678e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.095390791596276170e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.830007967195611096e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.239527741832924523e-02,5.000000000000000000e+00,2.000000000000000000e+00
-3.225090853206177277e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.581974876327796098e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.542885168674304142e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.551929138451202839e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.302944171327671374e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.755652750657277661e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.166505407411528722e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.828362576916401083e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.770530117439631512e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.281014107193534590e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.264012760626600729e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.007506397464769998e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.667630432458642620e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.171152088201892816e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.203365559285721087e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.837735550840445820e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.752861658204480144e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.271258035619783566e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.244837708746075799e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.493123285586368643e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.598309843795243657e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.299515384862893086e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.608411513215108252e-03,5.000000000000000000e+00,2.000000000000000000e+00
-8.975197803919917616e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.991770861611973087e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.567304540637139809e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.295295814666678313e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.013560950545382200e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.280146470474015530e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.925710380340251993e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.739065933422537125e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.676858740635980116e-02,1.000000000000000000e+00,4.000000000000000000e+00
3.052134514688403799e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.497914643514848487e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.993289647870858161e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.007562285449134787e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.514212265087604870e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.417985423201460815e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.572668629467421475e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.164290202239152583e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.966910926516151736e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.275549650037996363e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.960848178678637366e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.072312171843906592e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.709910743116506815e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.675845934144984284e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.483775611900343128e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.824982695279007139e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.992867722381330031e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.581318764081769856e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.461599401528608899e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.529169178134387463e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.265775609044228700e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.679493467022055597e-01,5.000000000000000000e+00,4.000000000000000000e+00
