f,c1,c2
-5.529355273205764920e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.283458798194343498e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.093741167575689399e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.735491574374343760e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.424687084783484714e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.783440168336214993e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.114750232420037290e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.218740360984338578e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.286480532520312137e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.725234126531805051e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.035629747379611665e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.552484635125218393e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.391145502273337220e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.320254580041737125e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.727723160462420138e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.528884147024300422e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.891991105243753912e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.014103358467903782e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.963618466682970798e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.183502737754582812e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.007966552112225189e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.803138751201775525e-02,5.000000000000000000e+00,2.000000000000000000e+00
4.662678277840188734e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.159414261223023823e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.498248532514988351e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.165154766819920695e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.099996291045114483e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.504189805112173151e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.104838288468777519e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.288323061138367365e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.324294918779208907e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.242515515532133463e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.379402096590550797e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.252711174257130633e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.706745602059259848e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.209068773985074063e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.066931225014102536e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.657455219330604912e-01,5.000000000000000000e+00,2.000000000000000000e+00
