f,c1,c2
-1.972982528014936010e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.318494453899960339e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.816973328917435238e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.503230102950496638e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.084088670585716785e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.317979535060827212e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.318090214284259772e-03,1.000000000000000000e+00,2.000000000000000000e+00
4.426185307468176733e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.607433084049540162e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.681398682090579300e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.613863869150465868e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.931518231620996451e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.995651575782317444e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.909285706357583434e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.681323158971383069e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.335498623911423599e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.143187575653845212e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.564403280019409870e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.498949853855603864e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.460543991035628930e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.144837453993541310e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.752094131524241538e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.631597493169961499e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.950825215365347143e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.455450417275929276e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.327191250027683456e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.903648440372772921e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.184999876075456759e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.043730985046054882e-02,1.000000000000000000e+00,2.000000000000000000e+00
-6.736280349507929588e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.111464745815710142e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.652270435489416656e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.234800536907650459e+00,5.000000000000000000e+00,4.000000000000000000e+00
