f,c1,c2
-6.351414704059805683e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.862349084097296520e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.358799549016090902e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.659770270334048226e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.668964853148140914e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.289608420344182216e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.172225439652820889e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.283022932233834013e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.171924176150714203e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.624673686725315980e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.698255372090706317e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.953771398644782220e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.609964818092111116e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.153301857150611731e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.129882036305402515e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.026854708456099718e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.171860306275589458e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.435282090941138122e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.551525277823906812e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.215797914543894853e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.904007873609382173e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.867598466867020246e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.972744582552988124e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.213015544475975815e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.203474159871219085e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.017381241990350627e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.123149488638692128e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.673213018572054178e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.192952133064062892e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.071101419966531410e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.698711681616993374e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.489230431926600762e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.372305409426415324e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.196746655732654929e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.843032705536874705e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.598654576083284443e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.993177306655694148e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.041148897090845071e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.494713692003444727e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.527065863437920945e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.737235014334727490e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.048407712947239556e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.122181851019786292e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.270767816514681403e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.095697282603079081e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.683912288213200936e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.328772103296461449e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.693729524512255891e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.211821214402004410e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.382252338450213447e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.469080919963171472e-02,1.000000000000000000e+00,2.000000000000000000e+00
3.256787316906931684e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.654805874951157163e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.041955039881502287e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.199598004344071711e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.090931565388648217e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.082097552007339480e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.314582044238667979e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.168508183830442235e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.316403422209922791e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.293122387058405653e-02,5.000000000000000000e+00,2.000000000000000000e+00
3.989956243147803505e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.273878094693547514e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.070888101463569164e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.530490595538092080e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.509758665183691173e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.319239354343288539e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.202241248039928601e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.049330422886875169e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.948667916100401687e-01,5.000000000000000000e+00,2.000000000000000000e+00
