f,c1,c2
2.952182522906252160e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.192689290994783269e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.265303278865935965e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.527371969471500890e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.426053713288216507e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.460735308060568727e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.551270715390802524e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.638689623187886024e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.128716126968102973e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.848878594875039916e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.816325062420626524e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.163006360635605141e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.706675661809236466e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.788311813866169775e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.755865721888888009e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.951354752373811507e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.573917080726880968e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.996614648154514171e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.463209115341224220e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.202689626666857414e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.935665424879603691e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.324535247145186556e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.010012290663877099e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.724629297418083240e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.037883037541288189e-02,5.000000000000000000e+00,4.000000000000000000e+00
2.050730931668584223e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.505154645383664835e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.212041583310643489e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.585166057135884099e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.096759564053665370e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.118142023508113425e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.709694616414009660e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.661068168360126940e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.227841849798203544e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.125968784254059996e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.113160753778141387e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.756988590211814971e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.128729745524731154e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.539604299654148578e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.859358809706204152e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.044512689709922171e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.695343671109164063e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.571277644361422254e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.789323454800114011e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.877842626229174527e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.799641476292630493e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.296568745667914691e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.081069251810098386e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.655674611178661770e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.479938584052973738e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.395255392356042456e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.862091156233500300e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.955804093708670921e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.568301146823849024e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.144224720111948201e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.783485185359097169e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.764609707999420518e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.873648380024371729e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.600738231131673794e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.994334515615888037e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.021488211051801542e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.459097409459522987e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.787638573308078183e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.282789142291513862e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.723128816431858112e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.770534856935116252e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.614771389864911644e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.421619389128066402e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.615664383956636030e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.720556302377158175e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.677521917192239087e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.412564303109215658e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.836456789185878069e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.897286801631777875e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.289931831239669258e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.351545402565970999e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.500402431258867963e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.401800478394762961e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.441707527478551798e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.457684529000414786e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.675915773623695593e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.258948764754496574e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.004685510970068307e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.101754942024361306e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.612185635434893349e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.438402523486445150e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.398146242840454967e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.760384191965883360e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.280343576024876695e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.989279155026958179e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.320577157853097816e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.989480672422885732e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.275111700720647168e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.414701432767554223e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.326169340421786025e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.034853957054099549e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.073549092957934548e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.819197417523540583e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.201947015653850315e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.631227180163969503e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.675168456146756579e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.493979213173527221e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.037372791674025629e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.718531319213787767e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.680839091652120698e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.374560647694559212e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.333828267026696768e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.515042287353103534e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.301721163845470208e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.035125550454413457e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.161517159561066936e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.286388831651556597e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.835968485198425093e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.477802217602741663e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.135494849104683457e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.033283970001293461e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.808883945471329024e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.617338484450199232e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.338972752383861042e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.009478674571429924e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.116042746386640916e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.756992226410803326e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.260985204144120964e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.502342277447058283e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.641079836038147777e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.377671968256584556e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.350368503481403248e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.266372217054203109e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.979177379762216749e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.004304216090255997e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.587349984925567670e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.371961967110311820e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.856771436391881101e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.320771804688250395e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.232233551571015884e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.743831807985608329e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.814449302246585738e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.245778737331990182e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.165163609628162789e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.047740808904744858e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.555764383203300349e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.953840362578273204e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.492245946684783997e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.954843693732795096e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.423743479545042323e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.689754119674693023e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.012345498195130311e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.119336914919691672e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.051244514717891043e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.291153744230684630e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.473727870096317449e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.377317390344169112e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.563816128390183025e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.607606432676063513e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.798835316490817959e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.185631316518640066e+00,1.000000000000000000e+00,4.000000000000000000e+00
