f,c1,c2
6.484351310616097708e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.380698751095146948e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.565713310309822415e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.492208186741860398e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.360508556019384807e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.204669351920282266e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.009062849434041009e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.905594590316771031e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.207234731607654987e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.961364868744642553e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.100901759194110596e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.979342810565771105e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.758083347216739839e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.005286525235649320e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.814485603968684746e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.602444026507313657e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.018970748777291657e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.043963633977426531e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.486229015777304374e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.048952581905675530e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.942488780791782332e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.209071074101508714e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.602465216001896842e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.070857228207741541e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.127513536271219419e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.747740176637379461e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.701036456295624388e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.288707596388538601e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.017076281697292028e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.369615428527898082e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.668436426450406795e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.532239723489952188e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.960533414403224040e-01,1.000000000000000000e+00,4.000000000000000000e+00
