f,c1,c2
1.613037048338605173e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.573035427528791663e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.665413817788082618e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.902844514255576214e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.605926175399706946e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.870438715074874914e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.569954720830425643e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.402244400481704290e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.542678149978812918e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.140808409048236827e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.296099413703293290e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.156739197024391874e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.983321968440565020e-02,1.000000000000000000e+00,2.000000000000000000e+00
-4.657500787672514964e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.236869814854269833e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.382622851948463349e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.591978349944094706e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.827054265027476809e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.605235301657345293e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.335449635875818331e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.192000445181851553e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.556432800416834183e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.021938797885039774e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.173077657446855326e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.923848272013501948e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.034999223714440086e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.618523044396980470e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.296516881885125594e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.310995673950105633e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.341679205526696617e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.947783895855695002e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.535169213568197799e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.091583329494030474e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.887003974717224919e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.695854406154376992e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.953921959213319237e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.715653690841263845e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.500656915368709488e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.023737040484284266e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.870391306156781397e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.579653407903893525e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.620262090843169744e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.233105675767673048e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.296252251638413622e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.781427018354331260e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.927454505392180550e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.298797413698761449e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.011604725821715345e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.486813658936719573e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.894851729620936398e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.968153654153898868e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.157175658468410973e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.938451535129969594e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.440230753642266048e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.617661603117825031e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.261051742178763480e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.655131062489796134e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.549200004334826852e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.318304774001523683e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.635473517707678237e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.055305173371926308e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.179356992581448882e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.956679014410450002e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.464214668020662025e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.008830520536287523e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.089271848823073263e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.076307413777941369e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.030656019713344307e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.732653921942901354e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.090760851161557410e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.130270535859368874e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.790690370300401124e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.524407383090797596e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.087059947978441521e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.794560613350943079e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.893608651748943217e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.036219294425947401e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.895323898665269846e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.054352160628198476e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.156823042982819238e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.624271110207880620e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.255945387694139326e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.783060405705942042e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.265837415787716580e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.770327092382482759e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.181236265039295880e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.728124211564886936e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.363789377956440951e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.172001318162235073e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.833130487039851930e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.203956422316723396e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.014825865597544841e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.464814794676395859e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.359924361801216675e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.600681091265826250e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.069467859752383454e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.869024578226148758e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.255772802097204988e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.184905537094695482e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.601470535207512258e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.413141299950521734e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.994218633356096310e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.785730497400086048e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.876790095834489858e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.770364146917299930e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.491826476472952800e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.035718279192066715e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.215584331146811969e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.213971283668145329e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.201897713163818882e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.236502873502815292e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.267098141902782693e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.205675323366993568e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.113150235864706072e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.902049080703788420e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.319854073021763163e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.731778390104490750e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.951550755247001945e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.669367938873459689e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.072030596397365976e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.782500377097131938e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.027468886034680340e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.097114559175966342e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.375435367439195034e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.157800512355407596e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.413626365659120809e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.783323590867190500e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.163172891437065815e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.738630931788248901e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.573110856651050771e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.497661664238834067e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.455760960952533753e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.567001233480289191e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.062493298291916910e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.391697848682962202e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.364149202210901857e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.207035499016436475e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.450384529168346148e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.881693421233401775e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.637976966384915301e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.453128523329201727e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.295296070250655518e-02,1.000000000000000000e+00,4.000000000000000000e+00
