f,c1,c2
-1.388612686232698179e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.583599757109428463e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.943248004340000001e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.865534521637379539e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.214631891988077861e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.404042971297164988e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.031831908520509211e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.010055260067765248e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.135284630353997404e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.101881787600499152e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.196674507433324736e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.218346309141976169e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.070355705675359426e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.998886581066007362e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.076327549699924058e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.274837102156090030e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.044821443015280349e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.954353684757761389e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.447061695105678281e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.721599812525161810e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.951903945472256652e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.495151889990337546e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.251910291030187805e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.405389459974404620e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.269342718203458231e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.820936146422030610e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.240036408067885620e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.621971714477792537e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.148913939955165553e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.221348114125680784e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.100797635976793254e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.511034419242196059e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.260602054820406437e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.346653359833205998e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.535516299515291117e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.280585349463772227e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.494965033412897881e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.110267809280090834e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.416774181869165372e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.825516916272916790e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.511244617866462026e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.848593246010310054e-01,5.000000000000000000e+00,2.000000000000000000e+00
