f,c1,c2
-1.937300467126561732e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.319403747216427059e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.492389125532866560e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.238163803981435329e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.638345226525426801e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.047041244876042887e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.303509683130403385e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.595605460421851252e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.923655986559853037e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.605997464769014282e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.774408219497221162e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.436214128520413968e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.606860274693063029e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.476464990043239056e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.055435325111032108e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.950664521597196277e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.037546721984875742e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.660516484498022360e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.257710192881201783e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.934111012922822948e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.245200266614152396e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.259384928131647596e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.734238371751619878e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.324318729299221786e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.099927986196968965e-02,1.000000000000000000e+00,2.000000000000000000e+00
-5.059787987884134530e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.008750571446995314e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.757322500123747216e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.254821334767017849e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.505730495386094381e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.637021723210188684e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.066637693692428446e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.476872638341068411e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.379656278894997978e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.257386643609292642e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.476620987564067011e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.075768671715011782e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.003678986487237967e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.254781755861277937e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.670865298093339057e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.735340900397184027e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.088131056857805257e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.399650330594257142e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.250320307881189308e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.848813625020858997e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.300300797386512830e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.398038272354476863e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.649298025208465468e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.508395486563527177e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.071902811094452401e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.658610035301769370e-02,5.000000000000000000e+00,4.000000000000000000e+00
6.035266503549122641e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.697746844662523236e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.049424293446244771e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.389529203008557534e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.605764932207062179e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.342665109393472223e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.450685588117822666e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.229886636504506997e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.429095422689869554e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.930322314857515265e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.391806273212544021e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.052670336789735206e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.599140118472334393e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.257892616929454754e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.289375137566194374e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.036857820020927523e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.783278436418586965e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.869460929797682081e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.170759133041982203e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.241742267460606675e-02,5.000000000000000000e+00,4.000000000000000000e+00
2.430060451953489409e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.220994424090393604e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.412744442640127218e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.600896034289387537e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.569172475010932488e-01,1.000000000000000000e+00,4.000000000000000000e+00
