f,c1,c2
-4.835892821693253750e-04,1.000000000000000000e+00,2.000000000000000000e+00
1.335699850552818591e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.574431800368101708e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.978340186326727146e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.693236483149761940e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.149306969298627745e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.472147305540442597e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.767263591653066346e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.493845436273522898e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.809616982235989102e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.542600578737765016e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.903115766137827514e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.056292660599979616e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.849719292311796104e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.115393696851811445e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.813461281005953607e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.866423986951007086e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.430985876022677905e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.020863218622611646e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.840898187172036016e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.152366771518054632e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.414656610661847003e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.450679625953692931e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.882119554458993038e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.338148056835816169e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.264893077366402885e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.765763680454088602e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.434580485330835375e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.732707619134130628e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.752911802575877864e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.983770566781828171e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.652435963082218739e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.798122895041007752e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.005050828062512336e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.146725900557280298e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.069662351460312189e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.557688510938708137e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.296524331086039483e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.335186257872123083e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.686742871874156058e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.657743177963113823e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.789558220432711788e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.588945430425390604e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.892143307288545850e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.756608759070157233e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.812979686505905130e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.112718438773190988e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.022128549578863788e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.306117288997135972e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.411878413432889001e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.336067631529574085e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.535693954018690688e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.922293451413220944e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.244112722370031232e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.727019002580136187e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.007610283858958455e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.010061812307714746e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.966605561013592629e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.843243164375502285e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.990580518663926712e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.011507306532642758e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.747583391062350888e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.142157711957985544e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.418596112317503932e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.106682316716337766e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.262591564168001612e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.645997848650876172e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.926626522573233746e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.828318129600890019e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.429178933062344337e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.639697087425538768e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.523460012369381777e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.252862311081837987e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.042627952089458798e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.955940928714688831e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.383781944744742254e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.577646015160516502e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.788976866372702701e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.233400249946832311e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.463772759307163440e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.557540691055658288e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.508642291406351088e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.499097112595760617e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.116283137208416765e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.685874899400642724e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.709480457548955723e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.060916394596884471e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.305798162114862382e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.722604726261435515e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.677076713397659735e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.128728011442867718e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.454017330500047667e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.532521101858970503e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.414538502225914929e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.026653556826063241e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.511186712205273786e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.920179507894153925e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.388814049831524233e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.424242821967511174e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.418508500643391290e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.046297206524345880e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.415785878141503584e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.453902993796768461e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.921149762383498993e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.792045646842588602e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.057178378067522351e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.965410537343988406e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.412646064787695721e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.850866948306204907e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.001679019003705484e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.063277777445304051e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.065510730548548723e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.429352977152823723e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.643353032144228232e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.115110328285839392e-02,1.000000000000000000e+00,2.000000000000000000e+00
