f,c1,c2
5.505534571120631604e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.894324477047522493e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.028480973341217908e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.484974387479597091e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.107829547175260387e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.093225078157824659e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.343040377958464981e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.374279135450618528e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.236878140450660801e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.866475824624867386e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.446919952529958087e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.175720206818651192e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.457513665616503973e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.741197764145606897e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.127672083889191157e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.098208827437894275e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.468575167777021351e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.182844546375140471e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.465049411219313313e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.295998741329052573e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.250923435845956888e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.044281034908537631e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.712151204143514960e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.893081358858904828e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.565318554766371051e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.917317968962708008e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.676676632046754101e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.945646605235064719e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.832611554144871757e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.192910936380332299e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.883714002358590767e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.669564978535098998e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.339056484964634919e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.095928700210381912e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.294014594091741799e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.391032798178504226e+00,1.000000000000000000e+00,2.000000000000000000e+00
