f,c1,c2
6.826810401421716523e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.152389997592219162e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.282470416937627311e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.499920312781518716e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.964464104491106311e-02,1.000000000000000000e+00,4.000000000000000000e+00
-3.193333703555114363e-03,5.000000000000000000e+00,2.000000000000000000e+00
-1.069681225633942967e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.771232357066978791e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.864120993689560191e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.311769128281057961e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.274876161541444786e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.211499458637872451e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.105436389209607739e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.590671968545573245e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.461738110298941185e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.875856540553987983e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.535091638835817340e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.816765174252643167e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.068883584073349630e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.278293742261181531e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.362876303808471468e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.107450507075941948e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.337125373970197151e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.614044352179446751e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.186979738269108742e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.571568891072857910e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.638134050254540064e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.460457934442474848e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.092838731975851463e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.672772621070202970e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.139286233520605873e-01,5.000000000000000000e+00,2.000000000000000000e+00
