f,c1,c2
4.622227669939295569e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.226226089967731747e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.284630626901395845e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.399165958647188068e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.107934197916352836e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.547466912435116582e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.329927143346893548e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.814361428438000301e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.492659423971568255e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.111859621091296102e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.574348052145134513e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.271589514814219890e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.398603607850224195e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.953099356786487606e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.337783289344093407e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.435552309715466102e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.304370212147992536e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.261068819873429059e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.203680732406561926e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.629682505897668610e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.061871109110580136e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.958258539204824733e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.693157533278866644e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.499488193491782528e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.302932265191563799e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.334518720030189565e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.423063109659509440e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.770692935593375816e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.509842953423504719e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.571542377527889056e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.162269440933415110e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.349843832895411322e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.164082212011842199e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.547491663635910841e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.460605285803319719e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.659910121807926631e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.676354022371786101e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.364584241644578477e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.102446776458845257e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.904998362884456786e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.151028091473409898e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.510110192317096978e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.334200344477614930e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.964434178129085162e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.852766957378571666e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.173393558087168387e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.956971334837567245e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.983471225454792042e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.139668883834623836e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.240055645019657371e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.326956091550435701e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.862421053376971836e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.384693503442252505e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.536984327617677393e-02,1.000000000000000000e+00,4.000000000000000000e+00
-4.794818644312777156e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.308606861512504327e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.076528965921834224e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.560537206799685633e-02,1.000000000000000000e+00,2.000000000000000000e+00
9.944111930369826935e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.298274203004663230e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.857750413112563503e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.931513998745558514e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.916683416532043771e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.788562359624865650e-01,1.000000000000000000e+00,2.000000000000000000e+00
