f,c1,c2
3.054513276483704409e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.523185300409804599e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.445404671341785630e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.514943723754265781e-02,1.000000000000000000e+00,2.000000000000000000e+00
-6.686569868348769541e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.757863152713556087e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.335363538798541361e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.185397193249833947e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.533026949891828528e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.835839311817683228e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.447082682412304422e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.480729948886641667e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.143542319168127985e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.223114660465615566e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.504016442004560083e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.920435513973789865e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.134305649146404749e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.011068544505993927e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.490081199541090751e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.476805986570445928e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.464482165407523961e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.360499556349838546e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.655171096726165025e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.080622265278884830e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.844609438790119960e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.894223617570540696e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.623950995471931336e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.468960485603692856e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.540889377695240370e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.270615283915762506e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.595762901352865804e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.094718009516117085e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.161193819755189427e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.720238050866607082e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.167513875563615855e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.739019526514384406e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.319646889891028074e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.512619294252180335e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.518106777116194017e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.932265053602476357e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.944129802300477827e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.234247179264848615e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.232217127122371636e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.657522133292348432e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.973241955204169562e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.514514605534279079e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.026152793165519661e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.840367419028105411e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.641591947943147112e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.155669841329307168e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.318254019874411931e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.814411795134687866e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.038920967760040837e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.685174317527792454e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.790983735150825318e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.327326804859192411e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.132517819524952785e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.492423897926987764e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.569461580855729510e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.538405706189903022e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.052655043046439864e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.744697629077208711e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.398586050257038416e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.447573091178206317e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.199007070319382029e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.972015227795979486e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.336696123095798772e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.464215837401972697e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.155712870491353961e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.345971446994551179e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.730859905109451313e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.225070705141801497e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.609807497127054399e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.200937331713166190e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.180245649173080835e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.911185567867188073e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.293781281571068309e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.257919944803460144e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.870982200716417854e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.813125151325505557e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.245907307659264607e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.743346534110240320e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.226346434992512835e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.733973355099521108e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.788102733762941821e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.396712510592688972e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.133825486534527194e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.569766008180382144e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.600366408542695629e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.453437164990859620e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.946067673875155446e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.528809695237178135e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.757693085659833843e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.190048648154480304e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.673566441057910081e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.798566197438514092e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.539737368604199297e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.889248179258460780e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.251461545188004898e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.909209641009284919e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.446235043867344139e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.720224381915947509e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.403999753936339578e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.652694622318346074e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.941153414285729628e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.108378531579433446e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.540315242331560697e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.898222743879868668e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.616918250227162179e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.305981027312733911e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.109518480804423834e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.043517942097319740e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.356129993940442535e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.418266444605046361e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.208861578368439660e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.377094590362015092e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.852689363050637583e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.916418976414181019e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.750777108458510867e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.284810959003211739e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.235350605612691055e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.473000175768126363e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.077614176281579628e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.436770962763341597e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.399382761259112540e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.249757871560380096e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.995123314342281517e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.403884823907270540e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.226461950104469123e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.786196236118121394e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.701854426841016288e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.687182379648671571e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.927870718951111062e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.437145506976962750e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.788291987378376469e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.854134249831467240e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.093631909854172690e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.681828486004699919e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.733375613551674466e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.749294947133337885e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.630467470718997669e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.966744951088118754e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.978618747737237893e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.482158781968305750e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.338763766201230609e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.181201186097046385e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.263208231862012365e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.112681871005707812e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.597575401186480892e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.976148391556983963e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.183592306066080457e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.214014425754495141e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.124207903383845242e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.973068834077887690e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.297778983222907634e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.737917771060242034e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.248354851329112947e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.607743905914815530e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.383939771531600638e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.338120227603998735e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.311497442226420063e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.358696119225067278e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.343251115189636469e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.959104201587514194e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.009374643585112752e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.869906706003353625e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.021147677287484568e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.515952954890138038e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.468862895010838887e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.300108858183383287e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.928016974829343422e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.517625241344491727e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.427438058595291270e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.639410595797676562e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.279297692784480578e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.398636614663891997e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.320885888165866273e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.489347495209562666e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.594841946026553714e-03,5.000000000000000000e+00,2.000000000000000000e+00
2.668928463678330587e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.150525645283256626e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.818416675863470222e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.145847733467888867e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.610825333236411083e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.658742593163815116e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.649752833565852006e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.173034943309991140e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.585935020595465428e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.598401685340608669e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.973135447890982164e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.820184303287159355e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.758421553720598052e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.944741388251169933e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.066350916386135106e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.175970829686512786e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.151406983290695019e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.216303215291407724e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.443075085362948151e+00,1.000000000000000000e+00,4.000000000000000000e+00
