f,c1,c2
5.085967486751714617e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.613745211387829670e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.206408015010496992e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.629127734873274669e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.581536662931653847e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.000089387876802016e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.353307431194551214e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.632301771683169811e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.382068975591051796e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.725595706536860785e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.020836102540310986e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.836925043580230454e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.532360337366629910e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.140258728450301851e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.004586749368076015e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.247228516807673326e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.448073832512261516e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.107420716853246723e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.638512886867835805e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.845704267662662823e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.051796651697755269e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.268663757679921233e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.423998889453057526e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.777701181697338484e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.715834979839139907e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.944544068417927818e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.823727010516432712e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.992058540172156000e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.469343147135211414e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.871380264943668270e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.262939316808997958e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.084425832826398928e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.128909843259673806e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.682746812731584440e-02,1.000000000000000000e+00,2.000000000000000000e+00
3.589373212959451331e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.785476832793662094e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.156440460555945737e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.910603758765923033e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.002574507758193789e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.016395241486403478e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.364438344016471183e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.435642809166573386e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.306799777393387929e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.794531909263932912e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.126796524345941464e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.253456509013078035e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.276018916068087705e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.011565308610506309e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.562025203780861737e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.581712386043915952e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.930552445903634506e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.230955135326447847e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.518376421803687704e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.066213032288711560e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.198250341531495344e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.079143010110099166e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.676796189272212079e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.547021095595342288e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.179592797103022006e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.080861946827119224e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.825009353220613917e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.393884100685768068e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.471910793988520538e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.774353154702895230e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.714680640434464109e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.843445837027971823e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.444957765682232775e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.163941481156569147e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.069164432547480947e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.233856624117481093e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.226454515052518346e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.157445858790283388e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.991015734449871344e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.307150512118921082e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.966539512103418375e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.087656701149760430e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.219800818309686452e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.426491682239642955e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.733628334869484311e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.057865509157870809e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.300636605060420337e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.343828782112854281e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.356657208800228664e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.255433837809866837e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.791443608434919454e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.363994903095996136e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.415377131673959177e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.956457769463582075e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.888394984234601282e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.091399074849950246e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.033095429696274437e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.211587865838370526e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.976344856015353812e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.085594930513926304e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.968685831772857497e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.032962051975305329e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.970295444683622277e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.639495254505551447e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.409935797422913417e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.090069356826073366e-01,1.000000000000000000e+00,2.000000000000000000e+00
