f,c1,c2
1.670503633306177349e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.661160650424361673e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.778781289684930655e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.019168529091344588e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.570207028864786025e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.363075723144558271e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.653163647873857833e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.724584924883193482e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.589740213056451079e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.343702703006553811e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.020993097494427460e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.692705974251618173e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.145937619078825742e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.716827424165410898e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.308361228223384742e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.146186659537809627e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.231656340094834823e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.797484203953302773e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.647506951867208524e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.928385010947937683e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.465834300345765229e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.756471415218270327e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.536391722533295479e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.757066370745495765e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.757437402980157160e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.779073427793651963e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.267784365628911392e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.097354269133937521e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.168446133247929675e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.440263077611019682e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.918140097636242380e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.073858219636136369e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.083280786378093552e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.114059815219355265e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.337616439234106114e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.894671315556269220e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.347252396553847209e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.104096405724768637e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.024933273914768073e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.755801029167337601e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.150077480127119411e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.692822825986669777e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.554673491951688913e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.036777719912953533e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.026204201383649206e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.056671366774954102e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.252530932361228366e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.024470215596092526e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.944830485076630922e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.202556823730849267e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.089823766794887128e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.790240201961013966e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.256011094562348163e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.366410238029842183e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.540352301704504212e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.611063741706738384e-01,1.000000000000000000e+00,4.000000000000000000e+00
