f,c1,c2
3.903175019179723759e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.356114082560397449e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.173146775760316007e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.974064850112087877e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.079901893337937707e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.404923750313614050e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.556128394703835349e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.084865757723161406e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.553488269115659293e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.540640257720114148e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.525298876848967700e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.694157185275285027e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.646872058584451182e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.234466636567824738e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.052663399991283277e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.024869608639118024e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.326731623248913194e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.077971294267968783e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.917947097304395054e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.888939309360919194e-02,1.000000000000000000e+00,2.000000000000000000e+00
-5.867757433517735155e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.315012805619275804e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.017134198707449588e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.132856117944593288e-02,5.000000000000000000e+00,2.000000000000000000e+00
4.410777110082924612e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.763122791347839780e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.230263771804149364e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.038927959543254398e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.326483983089549068e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.141284527770740853e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.117584798080220099e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.870487990725284710e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.512844616158254718e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.362096695485006448e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.902627236450422754e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.093882073093386864e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.945100315702510407e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.043643936857375637e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.951654100281026816e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.191450610237605234e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.132738628097738065e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.039367593160634096e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.104321746676951710e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.116981127061084544e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.771107707637413986e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.315970142383263042e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.899034101552048437e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.303821626952668400e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.979721716305006485e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.612248698497883437e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.304492805624005047e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.261544984009087766e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.728304974761144808e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.071792815582996106e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.249717074358702940e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.721076454459780636e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.853361903433531799e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.601951856639135308e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.152048025306839918e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.627876852419966047e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.660834734973441140e-01,1.000000000000000000e+00,2.000000000000000000e+00
