f,c1,c2
2.242082166017245193e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.716038478333525852e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.705946079384502490e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.337680143280979728e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.158958403429322548e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.393322581482961287e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.709743915305266704e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.613254528659208376e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.052287634672495642e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.725295323209252718e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.636683736903593145e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.254775847415910972e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.326142964044653372e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.799825467129526402e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.401927810439330901e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.387203398611614791e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.074552351524233451e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.796570359858423505e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.083579245249463696e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.300696876417431369e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.130066652110844894e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.578505351114181554e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.556219672174320223e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.648707165734319524e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.005794891026299931e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.782424519342562519e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.238916878270962973e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.911406483650314847e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.554304588714948476e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.382001107913090721e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.858803144490973613e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.918511408640671601e-02,5.000000000000000000e+00,4.000000000000000000e+00
-8.270384092452298663e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.571380200973394592e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.251336157665368320e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.324274341362999374e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.005034923686193959e-02,5.000000000000000000e+00,2.000000000000000000e+00
-3.038781955603006679e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.098927694868115035e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.603887175544877586e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.828138839683120409e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.100101681866177294e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.229746718235112501e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.880553081484493294e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.414799021884743491e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.258141453787710473e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.159650712216218515e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.446128186712216213e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.431457101347486383e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.523483628274478807e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.479609177461617797e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.888175402699441952e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.912315459946480223e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.428860512759233981e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.342243440151334344e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.957533241586276729e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.582157756843892038e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.909345847190100809e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.129236646265035837e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.389307086063137575e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.250582710563799216e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.669189650582207918e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.088445958021545312e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.266511191609033471e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.365263242267317434e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.375959088564300492e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.145467080078823363e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.615265661323691093e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.424433234297111106e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.334742893409960551e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.552099494384859835e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.841999644768876010e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.654122662610946204e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.251406627399773042e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.221456753930142192e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.134650822799308845e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.097242227896036315e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.971555244714748190e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.003407011410953897e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.715543737339821018e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.027903467814877736e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.201411425037503866e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.981414642019653893e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.258528780553259674e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.157352361679316877e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.801545817606819533e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.089812186109971215e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.453257153438518134e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.238056328532502359e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.133785110932092888e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.496145090723524085e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.306990482282244237e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.644998237894097937e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.445288754073892790e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.504794405286480341e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.407388977149329534e+00,5.000000000000000000e+00,2.000000000000000000e+00
