f,c1,c2
5.930360998633187330e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.491947639903222989e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.299110594160723275e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.444553804447516576e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.008222846961573271e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.473240825183623315e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.266489777134360395e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.590424503416849822e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.020918558680752319e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.667901929275145356e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.523968088183318192e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.503723975899946552e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.449062409468345969e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.612691743064231353e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.187540445782194087e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.768087212153509391e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.299118433196768230e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.628678356778033631e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.897221481061369897e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.119025810538325949e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.528550574429142772e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.002260909768591057e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.087483239716983796e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.181704127100723145e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.015474700747725612e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.173675091105278234e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.564862027990296278e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.905269462425663862e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.740604147722985662e-02,1.000000000000000000e+00,2.000000000000000000e+00
-2.042640286818937945e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.671507920179471363e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.509435472856488492e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.819880287185519308e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.093092805619743757e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.620222428680227367e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.017930091877174092e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.869338685063008043e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.773437054726860973e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.686904461750602380e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.211009811902036271e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.941534201772077139e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.868327348396765952e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.328837774011444095e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.897023388977624681e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.301128483142846459e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.576763761000804731e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.424235756130455499e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.599112531431287287e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.145513191836112110e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.543082457733309987e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.427288125045835354e-02,5.000000000000000000e+00,2.000000000000000000e+00
-5.573258874863273871e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.371515388111075984e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.369459546516355264e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.736647876818331326e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.283926356590255446e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.674499916520617138e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.371625098734662096e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.110684391257541925e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.616393663255070834e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.448712498109130831e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.310280682850734957e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.330321611553144434e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.662629257921871329e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.653029771280404958e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.247915853024299082e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.020161202021514502e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.794315304616932227e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.865986695148311503e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.676795678980588455e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.594632934216726250e-01,1.000000000000000000e+00,2.000000000000000000e+00
