f,c1,c2
1.009905155454435155e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.577348586858034363e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.731461820643057647e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.659212054172939599e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.969377268212338938e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.488928661216811111e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.333671547182640804e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.072961930277882336e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.396144006371653479e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.289527069200798293e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.361340570500262803e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.784273808511821269e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.357233871527917080e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.102553096071276606e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.341407179852148523e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.600473821596301249e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.605353156149453397e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.804990964558437216e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.065757625896360583e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.012256457826342437e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.212467491296085109e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.220352693315878145e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.403770866730800648e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.329394891227581033e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.048280410270339358e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.349006041868786809e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.046937091029832123e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.355866099519857926e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.526016052338952544e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.981723873662362134e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.558714383437024953e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.462054286328136055e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.056031580523103308e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.093274947391655427e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.485790512237660010e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.474397244973262744e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.981448494581699915e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.051377890211366184e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.702256406931204280e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.520679774192122302e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.550007783201109213e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.112272509477490789e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.804763836168026714e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.805430631266132568e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.571520345591722823e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.033583543399728466e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.100523416448813574e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.301885536807978250e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.065474420289720392e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.590824137564837537e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.346839641985476455e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.609635491271094843e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.656897012011519177e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.724025843016623760e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.567171577795160253e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.242356394311559864e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.522825167516452360e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.413551537744609732e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.988177620587334715e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.356564906891423616e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.451244482503882605e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.077342321897432065e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.596946138667926895e+00,1.000000000000000000e+00,4.000000000000000000e+00
