f,c1,c2
1.040207503187269289e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.450844424157156975e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.736635230881462988e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.805977203338483772e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.229938781488061572e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.324277046468348207e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.934965107623612290e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.042310329469441577e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.038812032645630490e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.808543715020971554e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.634643206689689876e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.820543562847500407e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.675910931730371978e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.166220034687354246e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.626494967410111014e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.088724554452363824e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.437418417048359487e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.908173358606579662e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.336682650060496691e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.746659906632839210e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.411686165963556894e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.092758517263506923e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.000060673935604605e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.461946217012211946e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.674157648615100413e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.067712764610566190e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.528990381681690103e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.610662956360476628e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.982882571885895895e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.415727715671203590e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.104084246492712751e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.278924090812362024e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.693948933935182755e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.974673631986260114e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.607499892299282029e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.361844043641451174e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.671141932400934227e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.364692134959174297e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.060062890627256671e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.830781206610716805e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.044615585384260470e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.913343432622463425e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.670985221672954602e+00,5.000000000000000000e+00,4.000000000000000000e+00
