f,c1,c2
1.967041271928927637e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.392190005288411747e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.200342883171588770e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.248505651831974150e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.414731853204491685e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.660288642429365247e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.735810630529991849e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.855381597774634628e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.468150179581017234e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.116000460201377775e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.825229051714418516e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.053434450537695577e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.095849284687156144e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.375670537213386169e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.814424666239001560e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.339984525616888522e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.597107528832887979e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.890197160382170338e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.325275860861344412e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.288112656022053715e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.081770892019044972e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.477899556871882014e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.719868146542088638e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.249344974137051256e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.139057472659986914e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.588761206565167061e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.692957648242527924e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.105526161652215650e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.728337933605201160e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.318754400507806235e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.767435486773323294e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.142369460070226550e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.691148226687387623e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.216704999852325164e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.746501962244400019e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.138625018941117784e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.989441947278904443e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.288226332261833473e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.296182147562180198e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.251861858136751993e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.166294841043729047e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.467324385471509895e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.303803497853824434e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.764629189799172382e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.147371006522786452e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.164518728600757891e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.811644406314014466e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.329943312446998149e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.413763254762957278e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.985676392176860539e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.291928249625481806e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.311251899869306570e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.085383529378388889e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.851869921139384756e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.969985052523518507e-02,1.000000000000000000e+00,2.000000000000000000e+00
-4.748561558203784894e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.677736639724789480e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.965729284397391030e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.455348219939892385e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.268232033532182612e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.535493741094413389e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.099437557023536183e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.811794111750550940e-01,5.000000000000000000e+00,2.000000000000000000e+00
