f,c1,c2
4.668699340392156172e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.042335445483088208e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.438559928962619416e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.512653046798352996e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.279040297353899458e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.455547443823771769e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.506892693611922240e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.298819173704296226e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.021817364792600102e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.809431421734460643e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.367200056435801780e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.345603004606258368e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.478693399451943447e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.568144015801589131e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.550546611939684016e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.804941079045929486e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.824344374239258215e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.171290135124626097e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.961836209406747855e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.501536220660789400e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.024180755859086078e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.362613205468951261e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.332709040770296616e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.228975233213614349e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.817700943518723466e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.313472183215776301e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.760789998788097360e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.901139785779811575e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.416150056658787459e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.010410610439554713e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.390810067099983893e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.165127797369420293e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.709957363379249529e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.684169325396629446e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.963363218134442700e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.421251058182495974e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.490735921816005227e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.491093029225924793e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.571200357332410036e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.897070986439268747e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.609181206349946436e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.670226130660485531e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.142072325389306808e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.132132090296662952e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.287439088208665705e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.223275698112522680e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.077254436332817811e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.924683872815982077e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.152807113711438625e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.835394780145239935e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.023285956547720588e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.276257069941775013e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.841376568031184213e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.083111186640025814e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.234872842363875511e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.084368849986662386e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.029911741376640322e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.673396441222864794e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.460528389054850440e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.799465843397190845e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.397287453735577278e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.960948186476594302e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.968489230792157541e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.602342177056023331e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.112091043675260682e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.896259619410960440e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.085734389674549938e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.034948845449289667e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.266830007411023473e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.044200471752193993e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.501886195187548401e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.193045968665546575e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.538227554426698118e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.886617858513996993e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.414043317890789825e-02,1.000000000000000000e+00,2.000000000000000000e+00
9.433099252684050029e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.574604851262030536e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.058034724690083639e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.608881426723762775e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.792683350598926140e-02,1.000000000000000000e+00,4.000000000000000000e+00
8.392772458424493820e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.950215394384914092e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.289993615160391016e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.001215208654898881e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.296718358696846707e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.134011397753340367e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.917941101275153937e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.401094762698409824e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.317130814689335239e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.120421091612676889e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.704837484913147350e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.558704419770663652e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.949700406865401803e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.692334499233780765e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.440662916288506956e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.460846735178625622e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.309383556079203981e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.338651005211203948e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.039486646979578932e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.393601434619739399e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.106560847824216154e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.265510851291344219e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.265721559616583947e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.023528543355127773e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.409659844832888531e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.965118384850601974e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.430454137502472411e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.169241715189315300e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.142398450016214984e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.897668324135467266e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.345091334656989712e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.319667813884364715e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.589781375310554523e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.193096464903348419e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.392159367081895027e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.085999776616038748e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.122912095591149129e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.364711017499229406e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.683694817413720957e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.701324132391418331e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.793476794528816587e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.097641245980567337e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.161141859956929423e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.068902863385481128e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.187948168177057617e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.816980437715273400e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.190059456004615157e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.792003338470540719e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.588565832410854917e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.604091112894182380e-01,1.000000000000000000e+00,4.000000000000000000e+00
