f,c1,c2
1.255794458532013991e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.133124969429024853e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.214405559199128237e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.804044634787629775e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.119648507823379546e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.818072346709670217e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.105993066779189293e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.826786279880056263e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.488668819880921035e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.140676641675647529e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.170284789086473154e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.346722698440262489e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.036400778569650516e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.004846833039754639e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.768379164734357634e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.572572680558450120e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.337015620410122452e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.165815537044803563e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.833863949021636408e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.733763422581112046e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.605469800153361382e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.956822443319092164e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.961553966703317720e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.191230311247209350e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.589252102851775206e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.656559104211586586e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.595536748855356457e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.558134899382484617e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.280678269092971444e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.173159353666866966e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.491525775190040815e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.457018811825046001e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.237777060808648910e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.465359876249644255e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.430946026064753962e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.045132461507973343e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.484367231434726486e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.825488765683886516e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.330461746773859755e+00,1.000000000000000000e+00,2.000000000000000000e+00
