f,c1,c2
1.175282234304533491e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.501068704692370748e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.099858492066594584e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.228916008977405383e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.534326826442456548e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.113937415272810566e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.487735499796986383e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.125587351063435548e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.274269430401769876e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.412861941685823589e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.022810596954481621e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.822738072409048726e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.712191948807005648e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.438269080371211484e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.815947548047463389e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.285961560206009935e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.359965680105538421e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.707400873931407714e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.912343792581556845e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.010023798334221512e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.100297151667210871e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.064953688912656959e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.293400258935246017e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.089467371667183326e-02,1.000000000000000000e+00,4.000000000000000000e+00
3.555891575415603967e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.994857435574582671e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.260821774457482114e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.256871232599738653e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.100387756421986607e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.137507187335653480e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.973883178319894238e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.876263698866868168e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.251217186646318424e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.289942495576643422e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.206700036530779396e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.512845277045741010e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.029845304583352328e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.526653564123011952e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.452746612845799090e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.327297986306851030e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.231086495985505458e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.071708229836785042e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.795163944924543481e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.202362803450444217e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.471192196494559123e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.681559981063799059e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.899695233615967038e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.742686688677602458e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.282124398017445710e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.825540074756264453e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.494795860040496027e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.726229391707472471e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.801220832584311551e-03,1.000000000000000000e+00,2.000000000000000000e+00
6.903471077735576777e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.076608622460917708e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.772358006108454009e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.367873711400015679e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.572624947945721385e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.163764849791985467e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.005780528228821913e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.778371752054149879e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.267998207482396500e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.262968300493135132e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.073194501411723484e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.930497432413204900e-02,1.000000000000000000e+00,2.000000000000000000e+00
-9.177783267763469643e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.704455573082290565e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.290238543217041900e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.425782662565057757e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.563865116599270078e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.070243244282105932e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.771926017047184443e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.218162380826282254e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.252527116469375791e-02,5.000000000000000000e+00,4.000000000000000000e+00
9.471037313179951900e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.136389674951399087e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.647495465776543044e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.793056445650633268e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.343262145722786016e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.196546282261221172e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.098024848022259858e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.545065554544594377e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.806083019875855400e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.597578588318613102e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.027775117380220427e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.077989822540128984e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.184299904820723393e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.427715983393907706e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.575426944215980452e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.236210877705119726e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.602423122232059405e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.535473971826732509e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.310745270853467481e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.386391487092462071e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.267521679175742377e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.168476516998515735e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.087577540787124875e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.274346866915475662e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.547317422918336849e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.567684137955514867e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.900595954446125946e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.516572267548986108e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.347152604389421748e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.700428089793755260e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.392481122695629403e-02,1.000000000000000000e+00,2.000000000000000000e+00
-3.909360726913501116e-01,5.000000000000000000e+00,4.000000000000000000e+00
