f,c1,c2
4.982623296261720069e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.148153660330100578e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.601202633337706072e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.855868481952331672e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.063212018972636175e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.407413793430136506e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.703757749483084782e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.408102216507260085e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.927606675148431314e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.748186778946014014e-02,1.000000000000000000e+00,2.000000000000000000e+00
-5.027085204318733069e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.427579836927768575e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.038507827953123019e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.370789853666891434e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.986773539973550662e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.286454841090740930e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.784447267786730906e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.096928445388690498e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.914826739677437217e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.078974568043375104e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.715324157338522282e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.658862980299446177e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.463199537848257514e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.103395622204484172e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.950636178427062939e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.653958135279398389e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.511908585999291343e-02,1.000000000000000000e+00,2.000000000000000000e+00
4.255656476472404748e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.693984233385170568e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.180810918989176006e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.284510733394987891e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.463324329114076505e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.725885113983474328e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.614162668109837440e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.270737174049211271e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.062602346236383388e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.866365724267252557e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.311926873836433804e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.031439169519473065e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.747124179628381624e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.226919345345688084e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.375590004209945372e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.284481455733578192e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.213942075984429270e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.005965296325030733e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.369749065042455194e-02,1.000000000000000000e+00,4.000000000000000000e+00
9.413366044961463119e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.937335463117317413e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.463688596540493547e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.460763677013198647e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.338511083942542035e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.177083680613981276e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.458236483604874234e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.099932692564756898e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.870557177577909735e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.877380467484674131e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.346401014388895589e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.730032212754445187e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.855460909394668567e+00,5.000000000000000000e+00,2.000000000000000000e+00
