f,c1,c2
2.766661627727836636e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.311356364593572299e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.504808159458412620e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.021781412757789109e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.047667502926594274e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.532342058203145951e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.482672074915008631e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.539226053862097099e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.357975957851437654e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.302948987852257767e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.352410859868515169e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.092939789773204717e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.856889156277074404e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.476244693965003241e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.945335464135686587e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.012545323205305325e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.776218431861647629e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.046626557476912911e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.413410124840107751e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.321112178905121892e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.474388681926769973e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.131791542380728766e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.148940346587335015e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.430295802713728248e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.095336490009829244e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.542560692605948469e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.133291395535418467e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.416058424842359109e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.812000467796852865e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.740004422285425623e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.559850145618677519e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.664116890987577646e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.079020743874885335e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.128689252548117361e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.131560919012717603e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.217338803405919379e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.337626670744816115e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.035077343641732872e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.826449058825056648e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.183430096357488193e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.570267380852393924e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.052371049428149519e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.263839115463338270e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.391600854212791782e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.046082070566129785e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.546707440604467854e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.321194695570948374e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.887622120117361968e-01,5.000000000000000000e+00,2.000000000000000000e+00
