f,c1,c2
6.298434676331037263e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.616331189115546962e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.652647764280797515e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.217551949945948203e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.356434899873207200e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.693279674255030676e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.545606322266977362e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.179511071195954441e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.772407914317929212e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.527624968812166806e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.599683138889671952e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.797793276995286682e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.148821039924343701e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.941495448794409384e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.489939750135209184e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.478529784511138701e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.745583183717542397e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.966390427396518925e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.782196114014340971e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.626496224799803159e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.563795615386322169e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.129308239935487901e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.652309669280111137e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.526794883025184957e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.877375359729831938e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.487170530791528833e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.304684502342601249e-02,1.000000000000000000e+00,4.000000000000000000e+00
-5.002011673478752307e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.723959132171427489e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.703624730804154108e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.336071986559247415e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.089104164217646442e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.233172385756386547e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.488829420089836209e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.398569449915773255e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.046832467357588392e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.388723521767380564e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.056239901692169525e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.503259805738974109e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.825706769003925700e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.329632748063365399e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.071606878406968777e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.074184822687302976e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.069392876433759909e-01,1.000000000000000000e+00,4.000000000000000000e+00
