f,c1,c2
3.440215486353046082e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.761061062887780859e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.310277260906095531e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.011239329122479769e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.792558302336934695e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.728566153088547885e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.375724496458125001e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.597331859374715890e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.822733142609094248e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.551625888001412212e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.328598349534684253e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.001778973421611540e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.327074102391115229e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.729365798286198963e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.716009446739808819e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.047863531486366462e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.788266855513720444e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.299671133472714679e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.031735449444847852e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.020882728629060487e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.876144542962518980e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.379559714127125414e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.307663210326217351e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.048019373152796474e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.636782717341052518e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.831478023919102860e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.527120643030913438e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.856613728666745011e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.218292434231837085e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.354603774174569120e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.219276754138578056e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.529409901389865212e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.069040320801668553e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.705208271813550613e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.435432327031003208e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.285090044466568937e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.362710797760462444e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.549459481957922602e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.274651765610463672e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.202661856741867208e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.718967698832266189e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.065352094841605535e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.537520336812274735e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.313230012001209479e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.115907544876856727e+00,1.000000000000000000e+00,2.000000000000000000e+00
