f,c1,c2
8.346207124685751655e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.817699167216742628e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.336710344989173294e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.337044330371766510e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.601513027531618727e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.635259799237376299e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.713122368832199260e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.374442086850056421e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.114212317118630224e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.373783798874792517e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.815112975151869090e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.671210624594593019e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.169537828883844277e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.200996677192116113e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.334612880955585279e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.617939059380258504e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.805600324496181575e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.579398667675443235e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.383617403865780915e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.815371125891459769e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.588173263358256371e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.074234362061131876e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.279485726034969462e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.937797085425626564e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.291869765087238164e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.144162056088207091e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.950086977886510642e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.572310738865835944e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.002472773365918446e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.387054214441138855e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.231948140027766314e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.457311753564638490e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.679564283300695626e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.993262899827819901e-03,1.000000000000000000e+00,2.000000000000000000e+00
-4.222222828885868751e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.565238729060624667e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.245866165870291198e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.599094168589174636e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.263568554174911984e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.185588427464209227e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.641327117748724529e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.075572093563144094e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.932997195101568311e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.691880714662647334e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.336645687658901238e-01,5.000000000000000000e+00,2.000000000000000000e+00
