f,c1,c2
1.596307890574490296e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.040482319628159402e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.139765940127164701e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.843473977544912046e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.133504180796679472e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.855406499097278061e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.035594865508760787e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.074213736716236101e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.020287582484966205e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.288424966226457302e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.718879245166657910e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.744493078417830745e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.040430884523839694e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.697598911382610432e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.700073380553661861e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.643011506221656592e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.305007537191423261e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.370607522257799804e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.532084253778037031e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.660595888433427536e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.734174300683201081e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.184965526757549625e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.914581317643458735e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.286067816519598672e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.428579773210668646e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.018097933639635189e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.553311586193266258e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.509465373699124591e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.856406568852780659e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.213309790558473988e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.713137320440593525e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.930541273726671392e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.095657627385611343e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.665957639458158557e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.157366980430002190e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.631954427151599774e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.610862291815730707e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.487724042280031966e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.162579457694053353e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.764630862097410713e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.991706784370308014e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.986886651068746623e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.461906871077998993e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.619679304164931111e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.039816558041750882e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.386891289947739248e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.334072011017966908e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.076455856706697523e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.746539028212615197e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.134097834762911997e-02,1.000000000000000000e+00,2.000000000000000000e+00
9.904142723860746012e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.023230600065794388e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.300158763446817023e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.747712504279050449e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.154700183612744624e-03,1.000000000000000000e+00,4.000000000000000000e+00
4.997425132713152474e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.126221152082161447e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.717765980992099761e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.012418404404066941e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.118724052549667114e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.461095856859284225e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.056815865848156566e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.562546317324558842e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.926069476068723585e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.608691915720379395e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.413392901222645825e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.084992180469337875e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.013270808352503938e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.349110702962243558e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.118652746222094763e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.814277342416852346e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.130513598908696071e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.855566911408563113e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.090113895132143407e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.302915187777037964e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.897299045055672706e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.229556362340182618e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.149891431116021989e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.761740667214664491e-02,1.000000000000000000e+00,4.000000000000000000e+00
6.355838091950827273e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.176582985905990419e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.766023482760485708e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.231490049542769416e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.592169533993161856e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.369285540330737572e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.274726141294380888e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.141967189916442749e+00,5.000000000000000000e+00,4.000000000000000000e+00
