f,c1,c2
-4.820231187992156663e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.830385344121526092e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.012115882296999558e-02,5.000000000000000000e+00,2.000000000000000000e+00
6.832070133662615952e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.713775721301246335e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.997416580647905837e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.672603142158663125e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.578217342348856356e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.572066659293896329e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.172510157564118138e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.635388863208998789e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.317383787781659432e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.031212782683810225e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.616594787238494924e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.590126727660547079e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.089590495045877683e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.663207783487943292e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.066466604780406335e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.836919633712432276e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.053046702708020810e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.673041895980079019e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.960386987939111147e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.255900669037244899e-02,1.000000000000000000e+00,2.000000000000000000e+00
6.826467953765091856e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.784524056017183113e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.565355389779633288e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.141996625324341430e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.121044504075969561e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.505544890169561167e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.419852557728419562e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.530892258662266414e-01,5.000000000000000000e+00,2.000000000000000000e+00
