f,c1,c2
1.299432770186238262e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.489562059598849686e-02,1.000000000000000000e+00,4.000000000000000000e+00
4.787506889778632146e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.268443449780106924e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.591188091253716408e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.946019556075047063e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.888983384734143178e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.588391235634493581e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.038670406532266721e-02,1.000000000000000000e+00,4.000000000000000000e+00
-4.057553087298174099e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.040746838912756767e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.014484697199280028e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.625639331200602111e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.546775379161181796e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.494533362208505523e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.277030424287165955e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.262034681179300621e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.697457763515401563e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.738507260910375107e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.983253873773672016e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.959556226552282787e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.314942930845060531e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.801119293258719223e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.025953618271093770e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.754466611031557655e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.056589450493495619e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.263154769547688128e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.618959730410512332e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.086236457978624115e+00,1.000000000000000000e+00,2.000000000000000000e+00
