f,c1,c2
7.785482133245568148e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.466862343834680393e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.319844267669280535e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.571435301802979634e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.706109636444304245e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.854785000867740674e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.799462145073138064e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.853344821204501613e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.164045413389419359e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.312442086137863839e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.113547749160037625e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.538295373398560706e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.505071507180241852e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.923663384242823682e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.836158644855351518e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.274558598415981070e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.159891453703567166e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.718243427757433661e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.455338262573667829e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.242393603139923419e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.197465383808123812e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.850154772530103298e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.697284391024696859e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.885708865643957566e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.696498680979950269e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.902753379345704543e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.871085809910323583e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.015504145392844837e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.447564617109009966e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.002759497550703482e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.220532337603287137e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.499965142862209388e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.932774529786227546e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.634477240065355108e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.319116112507578320e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.590519147116300047e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.018597859673734618e-02,5.000000000000000000e+00,4.000000000000000000e+00
-4.085578813297718881e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.635094139634031052e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.988661093152344961e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.677992473763405101e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.022882018606583454e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.231337575181212340e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.607384744151872491e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.584360743965713247e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.398112351508815632e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.213639628536967496e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.036205450813655116e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.978948030745788955e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.644251164128501586e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.021114343343448250e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.661106837037195971e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.030236137412261499e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.399076320000306906e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.463043184173094424e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.055696477149311807e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.177485215606203117e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.059099492657904484e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.731567772856869247e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.069156610794119944e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.259671176702094275e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.092866544910801707e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.697800252086146860e-03,1.000000000000000000e+00,2.000000000000000000e+00
2.389171999409799074e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.043967473592908313e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.718916107714380637e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.535939534512025917e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.680334242778857901e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.435017820487147766e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.585767653421328083e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.516287598039055773e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.430284700474490744e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.138622830016475351e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.372740081809208146e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.264272592603330914e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.320659388505869170e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.246985587340062818e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.241558986043616253e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.262846778836347994e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.291145450924038318e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.041236842712873312e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.721621015546462186e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.723783390682069872e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.885888874783663516e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.037237976076395451e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.764050838511871167e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.965252702530025708e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.559953515356244935e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.570159717037670877e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.565154315103819194e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.414982529916337661e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.789394455796309957e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.538499699339370475e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.865117503421378498e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.809553351433297763e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.444064459356141583e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.396612542473942842e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.989931300609321774e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.609985635903833590e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.260550336379863134e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.956775763691698700e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.790880164104254213e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.572121875185499729e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.707910547192680761e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.283765411089186292e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.063013314028003808e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.696820087162518753e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.386926599762517087e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.855730557932782077e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.761990504636346211e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.988596863664237047e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.587795486460982231e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.815120092832758214e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.881907659064323279e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.493894672549419766e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.607400444954041996e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.672746488312753854e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.672933847560789111e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.165401044448182155e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.786506378146401064e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.144991279706401688e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.733138887057870781e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.738774182402955226e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.460520330083819651e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.203450574858888622e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.850235135482242332e-02,1.000000000000000000e+00,2.000000000000000000e+00
-2.500726679264286823e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.693667981433878200e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.399505474270769434e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.521824607438264865e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.293817861532318592e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.205912260958346582e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.043718282580943235e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.727306095583262202e+00,1.000000000000000000e+00,4.000000000000000000e+00
