f,c1,c2
1.613522194867173187e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.479115744842150804e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.913230480573852477e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.017865195079003637e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.052522847991616661e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.371514862800244039e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.022080105288645235e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.349409483858358794e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.173404920629779191e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.987709997939993922e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.602748502442635337e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.313872627073998434e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.947604758989017970e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.964464086023634426e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.222247895401883166e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.692434173593737157e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.889885031284099792e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.660151142213996067e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.706443642444311681e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.675909948968509644e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.592702552636511726e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.178877983190817602e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.022522530157147891e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.246694764868549132e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.212606628601599734e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.541036619538941110e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.460554190484481873e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.664165720130408452e-03,1.000000000000000000e+00,2.000000000000000000e+00
5.700021789729676769e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.418021993563109540e-01,1.000000000000000000e+00,2.000000000000000000e+00
