f,c1,c2
1.365728629107559211e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.910759373163007480e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.130377774534093493e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.540860276388872130e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.102885746727025662e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.763154854509568104e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.628466447967496400e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.699072397874262563e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.096117102109943398e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.220783593438673265e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.021110398896402760e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.497314865999269884e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.626786624471431519e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.114045782535702411e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.815870983302572794e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.759139816151880531e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.223553763428362640e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.090476331776429664e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.372823967243794741e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.402494273545154435e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.090550696135611730e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.013060030831917313e-02,5.000000000000000000e+00,4.000000000000000000e+00
8.566043273227630372e-03,1.000000000000000000e+00,2.000000000000000000e+00
7.821461756857015502e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.871954106439985388e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.230958857757026514e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.545462048852938031e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.159841790551505936e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.504198489145349260e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.075922414652261683e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.767733261476494899e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.290208628842739014e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.358155480253819825e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.538673155985018415e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.518221710922340151e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.889834339752351600e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.937831060356618007e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.485047117271752093e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.101942077966566735e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.856847282152632062e-03,5.000000000000000000e+00,2.000000000000000000e+00
1.254322065352741378e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.462528015937538228e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.735058260768677751e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.044741870509811932e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.536752385352086359e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.235610904691363476e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.369549444442766717e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.455154138123762930e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.178726562230235864e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.549865097810010361e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.996928134249948528e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.090602059570569438e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.534400169062442476e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.527704848180756692e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.947917323087235530e-02,5.000000000000000000e+00,4.000000000000000000e+00
6.040836322498841504e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.121887472032934596e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.449624817544981736e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.930566814681124344e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.052885450357549990e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.468481175525856441e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.139876756356343890e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.894109130169985500e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.716096540775675638e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.921755943639958719e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.330727424068838260e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.584482977301763684e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.314896697741719134e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.003746886940034111e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.902217396443026676e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.666616913146031997e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.474337462692059120e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.018873019457257723e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.423957283470501878e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.311569857538814610e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.472251930475341197e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.627349619638504663e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.352196767423788692e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.519761934128798675e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.973898047251781751e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.625606872177526085e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.929650483619855805e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.206863861516898062e-02,5.000000000000000000e+00,4.000000000000000000e+00
6.883783114330286335e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.876851123882145256e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.742572914304818532e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.507948000969711266e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.302370656929255244e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.358243536610930668e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.845073987023841067e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.318639028053866014e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.171739973615762764e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.064366196931771480e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.258531430302806342e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.174088542335505636e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.078998490423336953e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.252699040140287323e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.487678548845528415e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.226648367005276796e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.690345881396122962e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.431496101121362496e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.130831613355545606e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.201805882915892187e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.536993224421281612e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.510082619461479148e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.782337304488848417e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.281078254124113691e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.431964477563748561e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.641298616605729732e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.194051231868722862e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.363540277886730934e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.166020483057529145e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.605050351542455012e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.286603028859808262e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.213246811028076966e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.228053086233417801e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.205042108423227454e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.190705777565522538e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.031603356057850140e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.703433784820598262e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.401762474390093605e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.763723995499634434e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.587441934693775369e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.063008848700119024e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.222548017607455018e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.686318075039797471e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.367364163138799382e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.481342672113829639e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.993962635685415430e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.489248605192316166e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.704286081280469212e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.523474049676494690e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.745712914083433986e-03,1.000000000000000000e+00,2.000000000000000000e+00
-6.838476257618681942e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.018051946825631937e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.421859428092346445e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.694624897625887527e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.965888563954830470e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.780958747308571510e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.891921717505115730e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.076666075308697623e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.148038869558840602e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.928876384975836356e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.189565691521492274e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.352455389828649324e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.690699896827362103e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.321940202951416232e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.201374299588900296e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.794696759527509622e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.006502793063635881e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.657265777498013071e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.076522854563591869e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.091593926489035304e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.957118319686494079e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.631974202971884669e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.011896741572849923e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.563481872221304414e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.892642798291067407e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.314256421223448879e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.398651137333338346e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.275420707889660221e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.577325202228953671e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.597898589982344353e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.399895029833328586e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.274117933079569998e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.875999942067394288e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.236863050372028372e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.256861055462411336e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.117079175423877357e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.190697464758221802e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.996827929302241289e+00,5.000000000000000000e+00,4.000000000000000000e+00
