f,c1,c2
-1.224526547257769771e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.567777070846518850e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.078919318121743798e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.652521324479396370e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.019801391044460548e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.068543741024612359e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.127592874182910876e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.835566165556446361e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.727069863107752568e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.853327145710738311e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.078321297438180615e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.438360202005749100e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.114879728102444956e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.003765483672676595e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.725248852300833580e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.268683354283979270e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.257661476491580999e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.865306098904992993e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.819636239186239735e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.490392609260196899e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.054582633895396970e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.761294629693654912e-03,5.000000000000000000e+00,2.000000000000000000e+00
-6.492622335057794958e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.571378701285175428e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.485187114653490958e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.131415087695974542e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.428510388336492909e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.058697959822480161e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.222846533861510210e-03,1.000000000000000000e+00,2.000000000000000000e+00
-6.219649498375789953e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.599506509946024835e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.230110617385357763e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.593638702235671945e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.462360542906223859e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.003426004560336260e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.893558938922802026e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.215950647418911679e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.820275982037270701e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.367143692884812189e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.003843929352350006e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.393205049580003685e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.377041374793902540e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.260405307050902923e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.297697405969545414e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.754392298414380935e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.160898660678170824e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.818285221741321678e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.169015229722192739e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.841060328031291604e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.439123986403548994e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.611730493825173749e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.187658253093525573e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.318602698565015885e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.841884369027581680e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.713938277730715498e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.163968088641968324e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.774796686164202164e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.527766861757265282e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.016656694880854861e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.969990128082077518e-02,1.000000000000000000e+00,4.000000000000000000e+00
-5.849115910362063797e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.259893651532782322e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.453077020895397808e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.396412386650125237e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.033667326939962106e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.471141373275955733e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.320247863773506669e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.016635395018349763e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.415910738714489137e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.687029427382499058e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.776081503733339506e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.976831666499153428e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.740541560273674015e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.093747722020767199e+00,5.000000000000000000e+00,4.000000000000000000e+00
