f,c1,c2
1.227727059864625048e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.499706109834678447e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.408682130383426268e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.066026087880520112e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.388923966995525561e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.284206540941069452e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.609102918303303209e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.268192752149062574e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.623818446824156325e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.023182154952576361e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.578211774206252027e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.550705156311760202e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.228567535874854233e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.785417248803287116e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.412778928436993597e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.803747065055282595e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.011009571640695714e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.245822538591410567e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.115250297454180473e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.223067216615999486e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.727073570275526659e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.663771243331476635e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.346038185002345511e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.911246547682918795e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.006704524402743939e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.664550970803951091e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.025004363758932335e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.391985456449856828e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.583030617699658027e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.791369883485477210e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.213770534605961848e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.316220984485597434e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.622818252366015290e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.452546632870002075e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.048427792554632809e+00,1.000000000000000000e+00,4.000000000000000000e+00
