f,c1,c2
1.562028515486595159e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.028413347482046714e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.453392141570202689e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.153732053882418285e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.336124292319229134e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.214425808814411312e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.075715975557601567e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.058999920900698388e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.983128698099259068e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.660189375925019029e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.261902905167887945e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.636215084033422418e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.036718812537013923e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.308499230266050084e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.076382685244342552e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.902848351437325558e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.466472829651080945e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.542690758750318691e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.040133217420401657e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.681075182960843239e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.950279670887387518e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.198112730814245186e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.850217423469102229e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.555588171843886647e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.257040061869195036e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.309747690547955479e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.467881520133885287e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.092133850997376143e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.709195843016583449e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.462006427109834306e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.344819197063364946e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.638989067805188160e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.709556329291821442e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.583543225607620508e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.385301307204917620e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.201186620533058122e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.160430660071344988e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.586201530565114481e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.080775379598570396e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.491936957618998472e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.109202077817871945e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.248405645194266889e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.107415224919228613e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.019090044892940305e-02,1.000000000000000000e+00,2.000000000000000000e+00
9.652693832718886036e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.485500836257484636e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.868740525565635746e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.348086995771484276e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.782177866677509215e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.296175326563973496e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.284030166323981259e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.746533081859279690e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.581660148799914900e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.871393957411561892e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.936843461639149888e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.140547186506890576e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.489901256143496333e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.942628789883159346e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.530806917541468914e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.617234376235167304e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.995668830676643246e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.755441018286593602e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.198846826547764977e-02,5.000000000000000000e+00,2.000000000000000000e+00
3.613335740483540448e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.497072926155773587e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.336082781922854235e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.783298986769747962e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.839572819154360106e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.866735522420501003e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.070484611541523412e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.851489145427672067e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.315026580690778157e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.410884652868734879e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.759706427831231323e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.751850252633736060e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.754709054183983152e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.332857238324140603e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.632119572765998061e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.127324681200137846e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.974596750910019960e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.965969238533381125e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.227345651051546582e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.291816841579497499e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.503066906574742845e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.683129078516629740e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.602897020000717987e-04,1.000000000000000000e+00,4.000000000000000000e+00
1.302343074764299669e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.142661810678182288e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.142816542430648230e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.296841229534188455e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.109514338784097109e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.229663341011087541e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.986651197355274512e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.538399134514664368e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.073365970826066107e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.680381798543207239e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.233562999605765542e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.551807355516009679e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.199909749068244547e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.346097316162651714e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.203491862023709391e+00,1.000000000000000000e+00,2.000000000000000000e+00
