age,age_onset,birthplace,filename,native_language,sex,speakerid,country,zero_crossing_rate
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,67649.0
29.0,19.0,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,73606.0
24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,80433.0
26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,64451.0
28.0,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,103725.0
31.0,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,56742.0
23.0,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,64163.0
36.0,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,87007.0
21.0,9.0,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,84076.0
20.0,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,80078.0
19.0,10.0,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,92367.0
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,123352.0
52.0,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,146001.0
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,44571.0
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,255557.0
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,138390.0
31.0,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,97495.0
38.0,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,76621.0
30.0,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,231039.0
40.0,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,67798.0
38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,99052.0
22.0,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,58209.0
19.0,8.0,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,64159.0
56.0,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,72314.0
36.0,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,98578.0
18.0,16.0,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,53587.0
19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,91300.0
22.0,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,74951.0
19.0,13.0,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,80739.0
25.0,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,101702.0
21.0,13.0,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,145991.0
29.0,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,73448.0
32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,87565.0
28.0,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,66764.0
39.0,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,103599.0
29.0,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,62837.0
26.0,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,75882.0
36.0,22.0,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,82001.0
23.0,12.0,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,71516.0
21.0,9.0,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,87395.0
19.0,18.0,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,213977.0
23.0,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,58713.0
50.0,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,227407.0
20.0,6.0,"london, uk",arabic68,arabic,male,1805,uk,115499.0
26.0,2.0,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,67424.0
25.0,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,96575.0
18.0,4.0,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,103011.0
19.0,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,78730.0
24.0,13.0,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,98805.0
25.0,11.0,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,90513.0
22.0,17.0,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,68427.0
22.0,21.0,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,121054.0
26.0,12.0,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,116950.0
24.0,14.0,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,102927.0
57.0,12.0,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,186835.0
21.0,7.0,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,92236.0
25.0,16.0,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,120513.0
23.0,11.0,"armavir, russia",armenian6,armenian,male,1228,russia,33909.0
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,28,china,430479.0
