,age,native_language,sex,zcr
0,20.0,amharic,female,67648
1,29.0,amharic,female,73605
2,24.0,amharic,female,80432
3,26.0,amharic,female,64450
4,28.0,amharic,female,103724
5,31.0,amharic,male,56741
6,23.0,amharic,male,64162
7,36.0,amharic,male,87006
8,21.0,amharic,male,84075
9,20.0,amharic,female,80077
10,19.0,amharic,female,92366
11,23.0,amharic,male,123351
12,52.0,amharic,female,146000
13,27.0,amharic,male,44570
14,20.0,amharic,male,255556
15,31.0,amharic,male,138389
16,31.0,amharic,female,97494
17,38.0,amharic,male,76620
18,30.0,amharic,female,231038
19,40.0,amharic,male,67797
20,38.0,arabic,female,99051
21,22.0,arabic,male,58208
22,19.0,arabic,female,64158
23,56.0,arabic,male,72313
24,36.0,arabic,male,98577
25,18.0,arabic,male,53586
26,19.0,arabic,female,91299
27,22.0,arabic,male,74950
28,19.0,arabic,male,80738
29,25.0,arabic,male,101701
30,21.0,arabic,male,145990
31,29.0,arabic,female,73447
32,32.0,arabic,female,87564
33,28.0,arabic,male,66763
34,39.0,arabic,male,103598
35,29.0,arabic,male,62836
36,26.0,arabic,male,75881
37,36.0,arabic,male,82000
38,23.0,arabic,male,71515
39,21.0,arabic,female,87394
40,19.0,arabic,male,213976
41,23.0,arabic,male,58712
42,50.0,arabic,male,227406
43,20.0,arabic,male,115498
44,26.0,arabic,female,67423
45,25.0,arabic,male,96574
46,18.0,arabic,female,103010
47,19.0,arabic,female,78729
48,24.0,arabic,female,98804
49,25.0,arabic,male,90512
50,22.0,arabic,male,68426
51,22.0,arabic,male,121053
52,26.0,arabic,female,116949
53,24.0,arabic,female,102926
54,57.0,arabic,female,186834
55,21.0,arabic,male,92235
56,25.0,arabic,female,120512
57,23.0,armenian,male,33908
58,43.0,bai,female,430478
59,54.0,bavarian,female,95744
60,52.0,bavarian,female,89588
61,34.0,bengali,male,57590
62,26.0,bengali,male,50457
63,29.0,bengali,male,57872
64,61.0,bengali,female,64990
65,22.0,cantonese,female,71806
66,25.0,cantonese,female,84666
67,22.0,cantonese,female,87583
68,20.0,cantonese,female,112599
69,21.0,cantonese,female,117031
70,19.0,cantonese,female,57797
71,31.0,cantonese,female,103965
72,29.0,cantonese,female,50013
73,26.0,cantonese,female,54875
74,19.0,cantonese,male,33103
75,28.0,cantonese,female,121308
76,20.0,cantonese,male,143868
77,18.0,cantonese,male,56160
78,18.0,cantonese,female,100243
79,30.0,cantonese,female,92973
80,33.0,cantonese,male,76149
81,22.0,cantonese,male,104000
82,29.0,cantonese,female,165364
83,18.0,cantonese,male,84927
84,25.0,cantonese,male,119492
85,31.0,cantonese,male,93469
86,23.0,cantonese,female,53992
87,22.0,cantonese,male,102451
88,39.0,dutch,male,74358
89,41.0,dutch,male,60103
90,23.0,dutch,female,78048
91,21.0,dutch,female,107214
92,23.0,dutch,male,93140
93,22.0,dutch,female,94335
94,21.0,dutch,female,95117
95,21.0,dutch,female,112101
96,23.0,dutch,female,75510
97,23.0,dutch,male,77140
98,23.0,dutch,female,96613
99,23.0,dutch,female,81798
100,23.0,dutch,female,72942
101,21.0,dutch,female,99150
102,22.0,dutch,male,59626
103,21.0,dutch,female,137612
104,23.0,dutch,female,80308
105,21.0,dutch,male,225585
106,22.0,dutch,female,112036
107,22.0,dutch,female,98246
108,21.0,dutch,female,49061
109,21.0,dutch,female,59980
110,21.0,dutch,female,90555
111,21.0,dutch,female,59868
112,18.0,dutch,male,141405
113,21.0,dutch,female,132576
114,22.0,dutch,male,45101
115,22.0,dutch,female,98854
116,46.0,dutch,female,87105
117,42.0,english,male,75810
118,35.0,english,female,47613
119,23.0,english,female,68443
