age,nl,sex,zcr
20.0,amharic,female,67648
29.0,amharic,female,73605
24.0,amharic,female,80432
26.0,amharic,female,64450
28.0,amharic,female,103724
31.0,amharic,male,56741
23.0,amharic,male,64162
36.0,amharic,male,87006
21.0,amharic,male,84075
20.0,amharic,female,80077
19.0,amharic,female,92366
23.0,amharic,male,123351
52.0,amharic,female,146000
27.0,amharic,male,44570
20.0,amharic,male,255556
31.0,amharic,male,138389
31.0,amharic,female,97494
38.0,amharic,male,76620
30.0,amharic,female,231038
40.0,amharic,male,67797
38.0,arabic,female,99051
22.0,arabic,male,58208
19.0,arabic,female,64158
56.0,arabic,male,72313
36.0,arabic,male,98577
18.0,arabic,male,53586
19.0,arabic,female,91299
22.0,arabic,male,74950
19.0,arabic,male,80738
25.0,arabic,male,101701
21.0,arabic,male,145990
29.0,arabic,female,73447
32.0,arabic,female,87564
28.0,arabic,male,66763
39.0,arabic,male,103598
29.0,arabic,male,62836
26.0,arabic,male,75881
36.0,arabic,male,82000
23.0,arabic,male,71515
21.0,arabic,female,87394
19.0,arabic,male,213976
23.0,arabic,male,58712
50.0,arabic,male,227406
20.0,arabic,male,115498
26.0,arabic,female,67423
25.0,arabic,male,96574
18.0,arabic,female,103010
19.0,arabic,female,78729
24.0,arabic,female,98804
25.0,arabic,male,90512
22.0,arabic,male,68426
22.0,arabic,male,121053
26.0,arabic,female,116949
24.0,arabic,female,102926
57.0,arabic,female,186834
21.0,arabic,male,92235
25.0,arabic,female,120512
23.0,armenian,male,33908
43.0,bai,female,430478
54.0,bavarian,female,95744
52.0,bavarian,female,89588
34.0,bengali,male,57590
26.0,bengali,male,50457
29.0,bengali,male,57872
61.0,bengali,female,64990
22.0,cantonese,female,71806
25.0,cantonese,female,84666
22.0,cantonese,female,87583
20.0,cantonese,female,112599
21.0,cantonese,female,117031
19.0,cantonese,female,57797
31.0,cantonese,female,103965
29.0,cantonese,female,50013
26.0,cantonese,female,54875
19.0,cantonese,male,33103
28.0,cantonese,female,121308
20.0,cantonese,male,143868
18.0,cantonese,male,56160
18.0,cantonese,female,100243
30.0,cantonese,female,92973
33.0,cantonese,male,76149
22.0,cantonese,male,104000
29.0,cantonese,female,165364
18.0,cantonese,male,84927
25.0,cantonese,male,119492
31.0,cantonese,male,93469
23.0,cantonese,female,53992
22.0,cantonese,male,102451
39.0,dutch,male,74358
41.0,dutch,male,60103
23.0,dutch,female,78048
21.0,dutch,female,107214
23.0,dutch,male,93140
22.0,dutch,female,94335
21.0,dutch,female,95117
21.0,dutch,female,112101
23.0,dutch,female,75510
23.0,dutch,male,77140
23.0,dutch,female,96613
23.0,dutch,female,81798
23.0,dutch,female,72942
21.0,dutch,female,99150
22.0,dutch,male,59626
21.0,dutch,female,137612
23.0,dutch,female,80308
21.0,dutch,male,225585
22.0,dutch,female,112036
22.0,dutch,female,98246
21.0,dutch,female,49061
21.0,dutch,female,59980
21.0,dutch,female,90555
21.0,dutch,female,59868
18.0,dutch,male,141405
21.0,dutch,female,132576
22.0,dutch,male,45101
22.0,dutch,female,98854
46.0,dutch,female,87105
42.0,english,male,75810
35.0,english,female,47613
23.0,english,female,68443
18.0,english,female,76653
22.0,english,male,81439
21.0,english,male,31623
18.0,english,female,49052
57.0,english,male,59286
39.0,english,female,73987
19.0,english,male,77693
21.0,english,male,52755
26.0,english,female,61910
35.0,english,female,77632
21.0,english,male,86751
21.0,english,male,65223
31.0,english,male,104469
38.0,english,female,63118
31.0,english,male,68201
56.0,english,male,80169
60.0,english,female,63828
19.0,english,male,67201
32.0,english,female,62532
71.0,english,female,106356
65.0,english,male,56197
21.0,english,male,58444
28.0,english,female,39848
38.0,english,male,53485
28.0,english,male,21667
34.0,english,female,54904
39.0,english,male,50084
20.0,english,female,63164
25.0,english,male,66667
69.0,english,male,81742
23.0,english,male,59189
18.0,english,female,68747
36.0,english,female,54885
22.0,english,female,72193
22.0,english,male,72646
25.0,english,male,25076
26.0,english,male,60859
25.0,english,female,64611
20.0,english,male,55482
40.0,english,male,69958
19.0,english,male,56746
19.0,english,male,60368
42.0,english,male,93110
24.0,english,male,67410
18.0,english,male,26294
22.0,english,male,64059
40.0,english,female,53406
31.0,english,male,60313
18.0,english,male,51987
7.0,english,female,75740
31.0,english,male,55618
18.0,english,male,63793
18.0,english,male,96367
35.0,english,male,49173
28.0,english,male,72300
35.0,english,male,51875
35.0,english,male,46583
18.0,english,female,53291
18.0,english,male,95416
21.0,english,male,61904
21.0,english,female,76197
75.0,english,female,91878
41.0,english,female,72428
41.0,english,male,79970
38.0,english,male,72429
43.0,english,female,73510
18.0,english,male,46489
43.0,english,male,82534
40.0,english,male,59781
18.0,english,male,63636
79.0,english,male,34350
50.0,english,female,39835
21.0,english,male,69784
19.0,english,male,74697
24.0,english,male,50339
18.0,english,female,107642
23.0,english,female,38025
30.0,english,male,49979
57.0,english,male,70926
39.0,english,female,56764
20.0,english,male,54280
68.0,english,male,38524
50.0,english,male,51380
18.0,english,female,41086
38.0,english,male,69762
39.0,english,female,69760
42.0,english,female,76041
35.0,english,male,58680
